pl_name,default_flag,pl_masse,ra,dec,glon,glat,st_teff,sy_dist,sy_disterr1,sy_disterr2
HD 219134 f,1,7.3,348.3372026,57.1696255,109.90724,-3.20073,4699.0,6.53127,0.00384,-0.00385
Kepler-205 c,1,,285.2866912,41.8609357,72.1976,16.03463,4321.0,159.72,0.348,-0.347
Kepler-126 b,1,,289.3473634,44.2084445,75.64407,14.23267,6239.0,237.401,1.67,-1.647
Kepler-11 g,1,25.0,297.1150949,41.9091092,76.1613,8.13328,5663.0,646.346,6.375,-6.375
HD 63433 c,1,,117.4793699,27.3631342,193.28189,24.14746,5640.0,22.4035,0.0225,-0.0225
NGTS-12 b,1,66.10864,176.2499418,-35.640563,288.04232,25.30286,5690.0,446.442,7.706,-7.453
TOI-2570 b,1,260.61929,87.1880397,32.0840435,177.65593,2.20726,5771.0,361.857,6.349,-6.138
HD 213472 b,1,,337.7069969,40.7222277,96.1144,-14.71496,5729.54,64.4527,0.1509,-0.1501
Kepler-511 b,1,,282.9455384,47.5749181,77.19174,19.61433,5770.0,651.999,10.462,-10.143
K2-275 c,1,,132.1698795,20.4550162,205.82396,34.58078,4841.0,123.438,0.714,-0.706
Kepler-409 b,1,6.0,293.6792058,46.8527337,79.43306,12.6169,5421.0,68.173,0.0996,-0.0993
TOI-778 b,1,878.0,199.3338503,-15.2737046,312.13301,47.13485,6643.0,161.743,1.123,-1.108
EPIC 229004835 b,1,10.4,186.4860415,-1.4047214,289.77763,60.81426,5868.0,121.971,0.879,-0.866
HATS-56 b,1,191.33366,180.165072,-45.7994559,293.75341,16.1654,6536.0,564.409,11.513,-11.07
Kepler-104 b,1,,287.6046621,42.1665104,73.18543,14.56786,5711.0,400.785,4.483,-4.386
XO-2 S c,1,,117.0309753,50.2169068,168.29963,29.3298,5399.0,151.398,0.955,-0.944
HD 190360 b,1,572.09113,300.9092476,29.894541,67.41056,-0.67616,,16.0069,0.0159,-0.0159
Kepler-94 c,1,3126.0,281.1947316,47.4972606,76.71253,20.71013,4781.0,191.904,0.821,-0.814
YZ Cet c,1,,18.1330792,-16.9962434,149.72351,-78.75503,3151.0,3.71207,0.00109,-0.00109
CoRoTID 223977153 b,1,47.6745,100.1951714,9.2573953,203.48237,1.86373,5970.0,576.683,10.436,-10.436
CoRoT-7 c,1,8.4,100.9561682,-1.0630076,213.01042,-2.17853,5256.0,159.906,0.917,-0.906
CoRoT-7 b,1,4.07661,100.9561682,-1.0630076,213.01042,-2.17853,5275.0,159.906,0.917,-0.906
CoRoT-7 d,1,17.142,100.9561682,-1.0630076,213.01042,-2.17853,5250.0,159.906,0.917,-0.906
Kepler-1665 b,1,,290.39624,41.0399229,73.02343,12.20124,5049.84,335.515,1.5665,-1.5665
Kepler-1863 b,1,,282.2397185,43.2440854,72.69782,18.62728,5871.0,865.546,11.6365,-11.6365
K2-391 b,1,,356.2260152,-7.7015151,80.80955,-64.9803,5543.0,507.94,16.546,-15.55
Kepler-1935 b,1,,296.4037783,39.7227036,73.97075,7.53267,5570.0,904.702,14.764,-14.305
Kepler-462 b,1,53.9,299.8211502,43.8142793,78.82865,7.37348,7500.0,596.625,10.858,-10.484
Kepler-1723 b,1,,294.4627362,46.8214022,79.65053,12.12381,6072.0,811.278,10.6695,-10.6695
Kepler-1850 b,1,,287.1428295,43.6161177,74.42563,15.45157,4239.0,250.199,1.333,-1.319
Kepler-1722 b,1,,296.6627402,41.2611985,75.42329,8.11144,5506.0,772.283,15.164,-14.601
Kepler-1934 b,1,,290.9193265,37.2871677,69.76532,10.19281,5925.0,428.514,4.34,-4.255
HIP 107772 b,1,,327.4977057,-41.2440371,0.05347,-50.42638,,23.6434,0.0243,-0.0242
TOI-4010 e,1,,20.2148196,66.0722009,125.91346,3.37092,4960.0,177.504,0.994,-0.982
TOI-1694 b,1,26.1,97.7487104,66.3605956,148.58523,22.70153,5066.4,124.68,0.59,-0.584
TOI-1694 c,1,,97.7487104,66.3605956,148.58523,22.70153,5066.4,124.68,0.59,-0.584
TOI-715 b,1,,113.8523276,-73.5774089,285.3953,-22.91722,3075.0,42.4048,0.0857,-0.0854
TOI-1298 b,1,113.14691,241.3229012,70.1900397,103.88664,38.97653,5889.0,319.036,2.001,-1.978
TOI-1296 b,1,94.71287,256.7706392,70.2384806,101.40393,34.1568,5603.0,323.265,2.845,-2.797
HAT-P-59 b,1,489.45575,292.4588212,62.5291892,94.0548,19.63991,5678.0,265.471,1.374,-1.36
TOI-1749 c,1,14.0,282.7372281,64.419466,94.64478,24.33732,3985.0,99.5561,0.1172,-0.1172
TOI-672 b,1,,167.9908627,-39.3281151,282.7301,19.60977,3765.0,66.9071,0.15285,-0.15285
TOI-2443 b,1,,40.1798608,1.1996757,170.21596,-51.35161,4357.0,23.9258,0.0232,-0.0233
TOI-2459 b,1,,82.1433321,-39.3730456,244.24741,-32.18328,4195.0,36.6113,0.0346,-0.0345
TOI-3082 b,1,,195.9080719,-19.2189845,306.90565,43.55866,4263.0,113.048,0.456,-0.453
